Ticker,Security,GICS_Sector,GICS_Sub_Industry,Address,Date_added,CIK
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",1983/9/30,701985
LLL,L-3 Communications Holdings,Industrials,Aerospace & Defense,"New York, New York",,1056239
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina",2004/11/1,920148
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",2012/6/29,707549
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",2005/10/4,920760
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",2007/8/27,96223
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970/12/31,59478
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976/6/30,59558
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",2016/5/23,1065696
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984/7/31,936468
L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York",,60086
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984/2/29,60667
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012/9/5,1489393
MTB,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York",,36270
MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California",2013/5/9,912242
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991/5/1,101778
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011/7/1,1510295
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",1987/8/31,62709
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014/7/2,916076
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",1981/6/30,62996
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",2008/7/18,1141391
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",1982/3/31,63276
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",1970/6/30,63908
MCK,McKesson Corp.,Health Care,Health Care Distributors,"San Francisco, California",,927653
MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin,?Ireland",1986/10/31,64670
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1099219
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016/9/6,1037646
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017/7/26,789570
KORS,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013/11/13,1530721
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007/9/7,827054
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994/9/27,723125
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",1994/6/1,789019
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",2016/12/2,912595
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",2013/12/23,851968
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",1976/6/30,24545
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",2012/10/2,1103982
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",2002/8/7,1110783
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",2012/6/28,865752
MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York",,1059556
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,895421
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",2011/9/26,1285785
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Schaumburg, Illinois",,68505
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",2018/4/4,1408198
MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam,?Netherlands",2004/4/23,69499
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",2008/10/22,1120193
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2005/3/14,1021860
NAVI,Navient,Financials,Consumer Finance,"Wilmington, Delaware",2014/5/1,1593538
NKTR,Nektar Therapeutics,Health Care,Pharmaceuticals,"San Francisco, California",2018/3/19,906709
NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California",1999/6/25,1002047
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,"Los Gatos, California",2010/12/20,1065280
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",1989/4/30,814453
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2010/12/20,912750
NEM,Newmont Mining Corporation,Materials,Gold,"Denver, Colorado",1969/6/30,1164727
NWSA,News Corp. Class A,Consumer Discretionary,Publishing,"New York, New York",2013/8/1,1564708
NWS,News Corp. Class B,Consumer Discretionary,Publishing,"New York, New York",2015/9/18,1564708
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976/6/30,753308
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",2013/7/9,1492633
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988/11/30,320187
NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2007/10/8,72207
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",1986/8/31,72333
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",,702165
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985/6/30,1133421
NCLH,Norwegian Cruise Line,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017/10/13,1513761
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",2010/1/29,1013871
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",1985/4/30,73309
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",2001/11/30,1045810
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009/3/27,898173
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",1982/12/31,797468
OMC,Omnicom Group,Consumer Discretionary,Advertising,"New York, New York",,29989
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010/3/15,1039684
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",1989/8/31,1341439
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980/12/31,75362
PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",2017/7/26,75677
PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",1985/11/30,76334
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,"Penfield, New York",,723531
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015/7/20,1633917
PNR,Pentair Ltd.,Industrials,Industrial Machinery,"Worsley, UK",2012/10/1,77360
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008/11/13,1378946
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",,77476
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985/5/31,31791
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",2011/12/19,1585364
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",,78003
PCG,PG&E Corp.,Utilities,Multi-Utilities,"San Francisco, California",,1004980
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",2008/3/31,1413329
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012/5/1,1534701
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008/9/24,1038357
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988/4/30,713676
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2007/2/2,1037038
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,79879
PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224
PX,Praxair Inc.,Materials,Industrial Gases,"Danbury, Connecticut",1992/7/1,884905
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002/7/22,1126328
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997/8/4,80661
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003/7/17,1045609
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002/7/22,1137774
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey",,788784
PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",2005/8/19,1393311
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984/4/30,822416
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013/2/15,78239
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015/6/11,1604778
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",2009/7/1,1050915
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",,804328
DGX,Quest Diagnostics,Health Care,Health Care Services,"Madison, New Jersey",2002/12/12,1022079
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",2007/12/21,315852
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017/3/20,720005
RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1047122
O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",2015/4/7,726728
RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina",2009/7/27,1087423
REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida",2017/3/2,910606
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",2013/5/1,872589
RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama",1998/8/28,1281761
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008/12/5,1060391
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017/7/26,943819
RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000/12/5,315213
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478
COL,Rockwell Collins,Industrials,Aerospace & Defense,"Cedar Rapids, Iowa",2001/7/2,1137411
ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009/12/23,882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",2009/12/21,745732
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014/12/5,884887
CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California",2008/9/15,1108524
SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",2017/9/1,1034054
SCG,SCANA Corp,Utilities,Multi-Utilities,"Cayce, South Carolina",2009/1/2,754737
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Cura?ao,?Kingdom of the Netherlands",1965/3/31,87347
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012/7/2,1137789
SEE,Sealed Air,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,1032208
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964/6/30,89800
SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",2002/6/26,1063761
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",2015/3/12,4127
SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",2015/3/20,1040971
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",1982/9/30,91440
SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia",,92122
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",1994/7/1,92380
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",,64040
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",1982/9/30,93556
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224
STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751
SRCL,Stericycle Inc,Industrials,Environmental & Facilities Services,"Lake Forest, Illinois",2008/11/19,861878
SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000/12/12,310764
STI,SunTrust Banks,Financials,Regional Banks,"Atlanta, Georgia",1988/5/31,750556
SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",2018/3/19,719739
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",2003/3/25,849399
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015/11/18,1601712
SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",2017/3/16,883241
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",1986/12/31,96021
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169
TTWO,Take-Two Interactive,Information Technology,Home Entertainment Software,"New York, NY",2018/3/19,946581
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976/12/31,27419
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011/10/17,1385157
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London,?United Kingdom",2009/6/5,1681459
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476
TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978/12/31,217346
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2000/6/21,98246
TWX,Time Warner Inc.,Consumer Discretionary,Cable & Satellite,"New York, New York",,1105705
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985/9/30,109198
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas",1989/4/30,320335
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",2008/1/2,721683
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014/1/24,916365
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016/6/3,1260221
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",2002/8/21,86312
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,"Newton, Massachusetts",2011/12/21,1526520
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,"New York, New York",2013/7/1,1308161
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,"New York, New York",2015/9/18,1308161
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493
UDR,UDR Inc,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016/3/7,74208
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016/4/18,1403568
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104
UAA,Under Armour?Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016/3/25,1336917
UA,Under Armour?Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014/5/1,1336917
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",,100885
UAL,United Continental Holdings,Industrials,Airlines,"Chicago, Illinois",2015/9/3,100517
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994/7/1,731766
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002/7/22,1090727
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014/9/20,1067701
UTX,United Technologies,Industrials,Aerospace & Defense,"Hartford, Connecticut",,101829
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014/9/20,352915
UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1994/3/1,5513
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",1979/6/30,103379
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",2007/2/12,203527
VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",2009/3/4,740260
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia",2006/2/1,1014473
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015/10/8,1442145
VZ,Verizon Communications,Telecommunication Services,Integrated Telecommunication Services,"New York, New York",1983/11/30,732712
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",2013/9/23,875320
VIAB,Viacom Inc.,Consumer Discretionary,Cable & Satellite,"New York, New York",,1339947
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",2009/12/21,1403161
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,899689
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",1999/6/30,1396009
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982/8/31,104169
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979/12/31,1618921
DIS,The Walt Disney Company,Consumer Discretionary,Cable & Satellite,"Burbank, California",1976/6/30,1001039
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008/10/31,783325
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976/6/30,72971
WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",2009/1/30,766704
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",2009/7/1,106040
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135
WRK,WestRock Company,Materials,Paper Packaging,"Richmond, Virginia",,1636023
WY,Weyerhaeuser Corp.,Real Estate,Specialized REITs,"Federal Way, Washington",,106535
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975/3/31,107263
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016/1/5,1140536
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",,1361658
WYNN,Wynn Resorts?Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008/11/14,1174922
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903
XRX,Xerox Corp.,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772
XLNX,Xilinx Inc,Information Technology,Semiconductors,"San Jose, California",1999/11/8,743988
XL,XL Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",,875159
XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",2011/11/1,1524472
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997/10/6,1041061
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",2001/8/7,1136869
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",2001/6/22,109380
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013/6/21,1555280
